FECHA (YYMMDD);HORA (HHMM);Humedad Relativa (%);
250131;0300;93,625;
250131;0400;97,3;
250131;0500;99,4;
250131;0600;100;
250131;0700;88,9425;
250131;0800;69,5375;
250131;0900;52,04;
250131;1000;44,7575;
250131;1100;46,1725;
250131;1200;47,1175;
250131;1300;44,725;
250131;1400;42,2425;
250131;1500;41,67;
250131;1600;39,4575;
250131;1700;40,215;
250131;1800;43,0525;
250131;1900;51,2025;
250131;2000;58,81;
250131;2100;63,18;
250131;2200;70,385;
250131;2300;75,34;
250201;0000;79,42;
250201;0100;85,15;
250201;0200;87,975;
250201;0300;87,3;
250201;0400;75,755;
250201;0500;81,8824;
250201;0600;86,55;
250201;0700;73,2175;
250201;0800;57,99;
250201;0900;54,6825;
250201;1000;51,705;
250201;1100;40,98;
250201;1200;37,3325;
250201;1300;35,47;
250201;1400;31,9175;
250201;1500;29,7475;
250201;1600;27,34;
250201;1700;26,1875;
250201;1800;24,2225;
250201;1900;27,85;
250201;2000;35,5875;
250201;2100;46,8375;
250201;2200;54,345;
250201;2300;60,6825;
250202;0000;62,205;
250202;0100;68,35;
250202;0200;67,9875;
250202;0300;80,0975;
250202;0400;89,8;
250202;0500;91,875;
250202;0600;92,8;
250202;0700;80,12;
250202;0800;63,56;
250202;0900;46,435;
250202;1000;37,815;
250202;1100;38,31;
250202;1200;40;
250202;1300;46,4175;
250202;1400;48,0775;
250202;1500;53,4975;
250202;1600;55,195;
250202;1700;58,355;
250202;1800;56,54;
250202;1900;59,945;
250202;2000;58,61;
250202;2100;62,9325;
250202;2200;66,155;
250202;2300;72,52;
250203;0000;76,1125;
250203;0100;81,65;
250203;0200;89,05;
250203;0300;91,1;
250203;0400;95,1;
250203;0500;98,7;
250203;0600;100;
250203;0700;92,85;
250203;0800;74,905;
250203;0900;48,55;
250203;1000;37,1625;
250203;1100;33,675;
250203;1200;30,645;
250203;1300;31,51;
250203;1400;38,545;
250203;1500;37,345;
250203;1600;35,35;
250203;1700;35,32;
250203;1800;37,5575;
250203;1900;45,6125;
250203;2000;53,0975;
250203;2100;58,185;
250203;2200;60,3475;
250203;2300;64,2375;
250204;0000;69,9575;
250204;0100;72,9926;
250204;0200;76,235;
250204;0300;78,5;
250204;0400;82,175;
250204;0500;79,1825;
250204;0600;80,6075;
250204;0700;68,905;
250204;0800;54,18;
250204;0900;43;
250204;1000;37,425;
250204;1100;33,8375;
250204;1200;32,115;
250204;1300;29,7225;
250204;1400;27,5975;
250204;1500;25,4675;
250204;1600;28,9175;
250204;1700;31,685;
250204;1800;40,8425;
250204;1900;43,6725;
250204;2000;48,385;
250204;2100;53,8075;
250204;2200;65,3776;
250204;2300;77,2875;
250205;0000;80,2275;
250205;0100;76,15;
250205;0200;73,3676;
250205;0300;82,64;
250205;0400;87,125;
250205;0500;87,325;
250205;0600;85,825;
250205;0700;80,1;
250205;0800;76,8824;
250205;0900;70,5725;
250205;1000;60,21;
250205;1100;41,3575;
250205;1200;39,275;
250205;1300;40,99;
250205;1400;43,955;
250205;1500;46,315;
250205;1600;45,6725;
250205;1700;51,7475;
250205;1800;59,28;
250205;1900;64,5125;
250205;2000;72,7325;
250205;2100;72,3225;
250205;2200;75,095;
250205;2300;76,4575;
250206;0000;82,2;
250206;0100;89,925;
250206;0200;92,525;
250206;0300;90,85;
250206;0400;91,925;
250206;0500;90,475;
250206;0600;90,75;
250206;0700;81,215;
250206;0800;59,7075;
250206;0900;47,6575;
250206;1000;38,7175;
250206;1100;28,1175;
250206;1200;23,335;
250206;1300;31,1675;
250206;1400;29,0175;
250206;1500;27,7375;
250206;1600;26,685;
250206;1700;25,56;
250206;1800;29,7775;
250206;1900;37,2925;
250206;2000;46,7975;
250206;2100;59,3575;
250206;2200;66,54;
250206;2300;68,5625;
250207;0000;72,3151;
250207;0100;74,785;
250207;0200;72,9075;
250207;0300;74,11;
250207;0400;78,4926;
250207;0500;79,7476;
250207;0600;81,2201;
250207;0700;72,275;
250207;0800;58,705;
250207;0900;43,8275;
250207;1000;38,1925;
250207;1100;40,6175;
250207;1200;33,18;
250207;1300;33,895;
250207;1400;32,32;
250207;1500;34,58;
250207;1600;35,0575;
250207;1700;33,2875;
250207;1800;35,785;
250207;1900;41,6375;
250207;2000;45,7225;
250207;2100;50,875;
250207;2200;57,3725;
250207;2300;62,4567;
250208;0000;72,6234;
250208;0100;70,7225;
250208;0200;61,515;
250208;0300;64,205;
250208;0400;64,985;
250208;0500;73,66;
250208;0600;79,79;
250208;0700;71,8925;
250208;0800;50,8825;
250208;0900;43,0833;
250208;1000;34,025;
250208;1100;25,895;
250208;1200;21,305;
250208;1300;21,47;
250208;1400;25,735;
250208;1500;29,6325;
250208;1600;31,955;
250208;1700;30,12;
250208;1800;30,3125;
250208;1900;38,03;
250208;2000;46,095;
250208;2100;52,7425;
250208;2200;62,8125;
250208;2300;68,77;
250209;0000;71,51;
250209;0100;73,395;
250209;0200;67,415;
250209;0300;54,46;
250209;0400;61,4025;
250209;0500;68,635;
250209;0600;74,3051;
250209;0700;58,4525;
250209;0800;61,41;
250209;0900;38,9;
250209;1000;24,79;
250209;1100;18,795;
250209;1200;15,165;
250209;1300;18,0025;
250209;1400;18,765;
250209;1500;17,0725;
250209;1600;19,2325;
250209;1700;52,895;
250209;1800;70,3925;
250209;1900;78,0625;
250209;2000;81,05;
250209;2100;83,25;
250209;2200;85,55;
250209;2300;88,4;
250210;0000;88,15;
250210;0100;88,4;
250210;0200;88,125;
250210;0300;88,875;
250210;0400;91,65;
250210;0500;94,3;
250210;0600;94,275;
250210;0700;82,26;
250210;0800;72,2125;
250210;0900;59,4575;
250210;1000;51,8375;
250210;1100;43,2825;
250210;1200;40,54;
250210;1300;36,49;
250210;1400;31,1675;
250210;1500;31,4925;
250210;1600;30,605;
250210;1700;32,93;
250210;1800;37,0075;
250210;1900;42,3;
250210;2000;44,8525;
250210;2100;47,65;
250210;2200;37,88;
250210;2300;38,74;
250211;0000;40,4375;
250211;0100;45,3275;
250211;0200;52,955;
250211;0300;55,2475;
250211;0400;48,8975;
250211;0500;48,5225;
250211;0600;51,145;
250211;0700;55,265;
250211;0800;44,7225;
250211;0900;33,85;
250211;1000;24,9275;
250211;1100;18,87;
250211;1200;25,2525;
250211;1300;27,99;
250211;1400;29,5275;
250211;1500;28,8;
250211;1600;27,2925;
250211;1700;30,745;
250211;1800;33,76;
250211;1900;41,53;
250211;2000;46,3025;
250211;2100;52,0575;
250211;2200;51,735;
250211;2300;47,8525;
250212;0000;50,5175;
250212;0100;50,005;
250212;0200;55,47;
250212;0300;62,0325;
250212;0400;68,4825;
250212;0500;66,4976;
250212;0600;64,04;
250212;0700;61,75;
250212;0800;48,0775;
250212;0900;45,4075;
250212;1000;37,9475;
250212;1100;28,9575;
250212;1200;22,53;
250212;1300;25,4425;
250212;1400;25,6725;
250212;1500;26,53;
250212;1600;28,96;
250212;1700;31,0125;
250212;1800;33,7;
250212;1900;40,6875;
250212;2000;47,4425;
250212;2100;55,29;
250212;2200;62,285;
250212;2300;67,22;
250213;0000;71,23;
250213;0100;76,495;
250213;0200;77,4825;
250213;0300;76,0475;
250213;0400;76,825;
250213;0500;80,95;
250213;0600;85,175;
250213;0700;75,38;
250213;0800;59,82;
250213;0900;46,7775;
250213;1000;50,0975;
250213;1100;45,915;
250213;1200;36,8425;
250213;1300;31,53;
250213;1400;34,29;
250213;1500;34,9925;
250213;1600;35,3;
250213;1700;36,9775;
250213;1800;41,445;
250213;1900;47,425;
250213;2000;55,2425;
250213;2100;60,2125;
250213;2200;66,5925;
250213;2300;73,3701;
250214;0000;74,4375;
250214;0100;77,3275;
250214;0200;77,8175;
250214;0300;83,965;
250214;0400;91,95;
250214;0500;94,075;
250214;0600;94,775;
250214;0700;89,65;
250214;0800;76,29;
250214;0900;59,2775;
250214;1000;52,7;
250214;1100;46,1975;
250214;1200;42,5575;
250214;1300;42,395;
250214;1400;40,3275;
250214;1500;39,585;
250214;1600;39,6625;
250214;1700;42,5575;
250214;1800;47,23;
250214;1900;53,985;
250214;2000;62,485;
250214;2100;67,8925;
250214;2200;69,4976;
250214;2300;73,6949;
250215;0000;78,765;
250215;0100;82,425;
250215;0200;85,9;
250215;0300;85,5;
250215;0400;86,45;
250215;0500;87,6;
250215;0600;85,525;
250215;0700;72,575;
250215;0800;60,7425;
250215;0900;56,7825;
250215;1000;55,8333;
250215;1100;47,1575;
250215;1200;45,695;
250215;1300;44,42;
250215;1400;41,675;
250215;1500;40,85;
250215;1600;43,9225;
250215;1700;40,8375;
250215;1800;42,2625;
250215;1900;50,9867;
250215;2000;61,8425;
250215;2100;65,9;
250215;2200;68,8051;
250215;2300;72,3776;
250216;0000;76,825;
250216;0100;82,15;
250216;0200;86,025;
250216;0300;78,3151;
250216;0400;80,02;
250216;0500;85,075;
250216;0600;84,425;
250216;0700;73,6;
250216;0800;63,09;
250216;0900;54,95;
250216;1000;42,605;
250216;1100;36,1925;
250216;1200;29,5775;
250216;1300;29,1025;
250216;1400;33,9225;
250216;1500;34,7025;
250216;1600;34,2775;
250216;1700;37,65;
250216;1800;38,03;
250216;1900;45,965;
250216;2000;52,7725;
250216;2100;57,3825;
250216;2200;65,9675;
250216;2300;69,275;
250217;0000;63,33;
250217;0100;66,27;
250217;0200;65,0125;
250217;0300;63,7225;
250217;0400;70,3525;
250217;0500;78,6925;
250217;0600;84,15;
250217;0700;76,9576;
250217;0800;63,9075;
250217;0900;48,2175;
250217;1000;37,8;
250217;1100;26,93;
250217;1200;27,6;
250217;1300;27,875;
250217;1400;29,325;
250217;1500;31,9175;
250217;1600;32,9525;
250217;1700;33,2525;
250217;1800;35,9475;
250217;1900;43,8125;
250217;2000;48,57;
250217;2100;56,94;
250217;2200;62,9475;
250217;2300;70,3199;
250218;0000;76,5725;
250218;0100;78,4275;
250218;0200;84,525;
250218;0300;86,375;
250218;0400;87,775;
250218;0500;89,5;
250218;0600;85,65;
250218;0700;78,2175;
250218;0800;57,61;
250218;0900;45,1325;
250218;1000;36,1425;
250218;1100;27,585;
250218;1200;23,48;
250218;1300;20,8625;
250218;1400;22,705;
250218;1500;29,06;
250218;1600;33,5575;
250218;1700;44,2225;
250218;1800;51,76;
250218;1900;61,66;
250218;2000;65,8966;
250218;2100;72,975;
250218;2200;71,7775;
250218;2300;73,835;
250219;0000;81,5725;
250219;0100;88;
250219;0200;90,45;
250219;0300;91,125;
250219;0400;90,825;
250219;0500;90,8333;
250219;0600;93,075;
250219;0700;92;
250219;0800;90,9;
250219;0900;88,3;
250219;1000;83,575;
250219;1100;79,6725;
250219;1200;74,9301;
250219;1300;74,265;
250219;1400;66,5725;
250219;1500;65,8676;
250219;1600;74,0725;
250219;1700;79,8726;
250219;1800;82,95;
250219;1900;85,125;
250219;2000;86,625;
250219;2100;86,2001;
250219;2200;82,275;
250219;2300;83,575;
250220;0000;85,075;
250220;0100;85,775;
250220;0200;86,575;
250220;0300;85,725;
250220;0400;84,45;
250220;0500;82,8;
250220;0600;81,75;
250220;0700;83,75;
250220;0800;86,15;
250220;0900;76,4976;
250220;1000;69,905;
250220;1100;66,1226;
250220;1200;64,4976;
250220;1300;66,0425;
250220;1400;61,9775;
250220;1500;52,5975;
250220;1600;55,88;
250220;1700;56,85;
250220;1800;60,54;
250220;1900;63,7275;
250220;2000;64,3325;
250220;2100;64,6226;
250220;2200;66,3425;
250220;2300;66,6025;
250221;0000;72,285;
250221;0100;75,98;
250221;0200;87,3;
250221;0300;92,425;
250221;0400;94,65;
250221;0500;99,775;
250221;0600;100;
250221;0700;97,925;
250221;0800;75,465;
250221;0900;55,26;
250221;1000;48,02;
250221;1100;47,34;
250221;1200;42,295;
250221;1300;39,4725;
250221;1400;37,205;
250221;1500;39,2675;
250221;1600;42,7825;
250221;1700;49,25;
250221;1800;53,8125;
250221;1900;57,865;
250221;2000;60,4525;
250221;2100;66,0125;
250221;2200;67,4625;
250221;2300;67,4725;
250222;0000;71,5651;
250222;0100;79,925;
250222;0200;89,275;
250222;0300;91,25;
250222;0400;95,125;
250222;0500;96,7;
250222;0600;99,275;
250222;0700;94,275;
250222;0800;78,8575;
250222;0900;61,3125;
250222;1000;55,0175;
250222;1100;39,75;
250222;1200;41,27;
250222;1300;40,9025;
250222;1400;37,67;
250222;1500;48,045;
250222;1600;47,78;
250222;1700;43,21;
250222;1800;46,1875;
250222;1900;55,4825;
250222;2000;61,875;
250222;2100;67,8824;
250222;2200;65,595;
250222;2300;64,95;
250223;0000;69,3;
250223;0100;80,7325;
250223;0200;87,4;
250223;0300;87,6;
250223;0400;90,05;
250223;0500;91,1;
250223;0600;93,85;
250223;0700;94,35;
250223;0800;76,4401;
250223;0900;59,6967;
250223;1000;48,355;
250223;1100;48,08;
250223;1200;46,5825;
250223;1300;49,5825;
250223;1400;51,5725;
250223;1500;53,6375;
250223;1600;59,63;
250223;1700;64,27;
250223;1800;75,04;
250223;1900;75,6901;
250223;2000;78,9525;
250223;2100;81,925;
250223;2200;85,775;
250223;2300;87,65;
250224;0000;89,9;
250224;0100;92;
250224;0200;97,4;
250224;0300;100;
250224;0400;100;
250224;0500;95,15;
250224;0600;90,425;
250224;0700;88,275;
250224;0800;73,4351;
250224;0900;55,505;
250224;1000;44,3;
250224;1100;40,25;
250224;1200;33,8725;
250224;1300;35,725;
250224;1400;33,275;
250224;1500;30,795;
250224;1600;31,7775;
250224;1700;33,005;
250224;1800;35,5425;
250224;1900;46,2075;
250224;2000;50,4975;
250224;2100;58,575;
250224;2200;67,6075;
250224;2300;76,24;
250225;0000;78,92;
250225;0100;76,7925;
250225;0200;72,1825;
250225;0300;70,8575;
250225;0400;83,8726;
250225;0500;89,05;
250225;0600;82,4;
250225;0700;71,005;
250225;0800;58,575;
250225;0900;49,145;
250225;1000;37,7925;
250225;1100;26,8825;
250225;1200;28,7725;
250225;1300;25,645;
250225;1400;;
250225;1500;;
250225;1600;28,9533;
250225;1700;29,94;
250225;1800;35,5275;
250225;1900;44,22;
250225;2000;50,4;
250225;2100;58,015;
250225;2200;64,0425;
250225;2300;70,1775;
250226;0000;78,79;
250226;0100;77,3325;
250226;0200;74,655;
250226;0300;66,6475;
250226;0400;65,765;
250226;0500;75,96;
250226;0600;83,6;
250226;0700;80,985;
250226;0800;67,745;
250226;0900;49,095;
250226;1000;35,94;
250226;1100;26,645;
250226;1200;20,475;
250226;1300;28,3175;
250226;1400;26,6525;
250226;1500;23,99;
250226;1600;25,625;
250226;1700;32,575;
250226;1800;35,155;
250226;1900;41,7925;
250226;2000;45,5075;
250226;2100;48,575;
250226;2200;50,95;
250226;2300;62,5475;
250227;0000;71,135;
250227;0100;73,9525;
250227;0200;79,1575;
250227;0300;82;
250227;0400;84,675;
250227;0500;87,55;
250227;0600;88,525;
250227;0700;85,9;
250227;0800;70,1425;
250227;0900;57,97;
250227;1000;46,925;
250227;1100;35,72;
250227;1200;35,835;
250227;1300;39,8875;
250227;1400;44,675;
250227;1500;50,4175;
250227;1600;55,9475;
250227;1700;64,075;
250227;1800;72,705;
250227;1900;85,6;
250227;2000;86,275;
250227;2100;88,925;
250227;2200;97,15;
250227;2300;100;
250228;0000;100;
250228;0100;100;
250228;0200;100;
250228;0300;100;
250228;0400;100;
250228;0500;100;
250228;0600;100;
250228;0700;100;
250228;0800;100;
250228;0900;100;
250228;1000;100;
250228;1100;99,85;
250228;1200;96,775;
250228;1300;100;
250228;1400;100;
250228;1500;100;
250228;1600;100;
250228;1700;100;
250228;1800;100;
250228;1900;100;
250228;2000;100;
250228;2100;100;
250228;2200;100;
250228;2300;100;
250301;0000;100;
250301;0100;100;
250301;0200;100;
250301;0300;100;
250301;0400;100;
250301;0500;100;
250301;0600;100;
250301;0700;100;
250301;0800;99,225;
250301;0900;90,6;
250301;1000;88,1;
250301;1100;85,175;
250301;1200;83,2;
250301;1300;78,85;
250301;1400;72,5026;
250301;1500;71,4926;
250301;1600;69,925;
250301;1700;75,175;
250301;1800;73,705;
250301;1900;73,33;
250301;2000;75,325;
250301;2100;83,46;
250301;2200;87,775;
250301;2300;89,975;
250302;0000;91,4;
250302;0100;99,325;
250302;0200;100;
250302;0300;100;
250302;0400;100;
250302;0500;100;
250302;0600;100;
250302;0700;100;
250302;0800;100;
250302;0900;88,125;
250302;1000;66,5525;
250302;1100;59,9633;
250302;1200;54,0425;
250302;1300;47,7775;
250302;1400;50,17;
250302;1500;51,225;
250302;1600;57,6025;
250302;1700;57,7475;
250302;1800;66,23;
250302;1900;76,915;
250302;2000;83,3824;
250302;2100;90,5;
250302;2200;91,075;
250302;2300;93,5;
250303;0000;92,9;
250303;0100;91,025;
250303;0200;96,225;
250303;0300;100;
250303;0400;97,25;
250303;0500;95,25;
250303;0600;100;
250303;0700;98,9;
250303;0800;86,325;
250303;0900;75,04;
250303;1000;64,1801;
250303;1100;57,6725;
250303;1200;61,7175;
250303;1300;53,685;
250303;1400;47,8825;
250303;1500;43,86;
250303;1600;50,1625;
250303;1700;52,6575;
250303;1800;55,7925;
250303;1900;59,7475;
250303;2000;66,34;
250303;2100;77,175;
250303;2200;83,1;
250303;2300;86,75;
250304;0000;88,95;
250304;0100;90,975;
250304;0200;91,625;
250304;0300;92,35;
250304;0400;96,275;
250304;0500;100;
250304;0600;100;
250304;0700;100;
250304;0800;87,2875;
250304;0900;64,625;
250304;1000;55,7425;
250304;1100;45,2875;
250304;1200;48,8875;
250304;1300;52,595;
250304;1400;50,36;
250304;1500;48,98;
250304;1600;56,8325;
250304;1700;62,23;
250304;1800;68,3075;
250304;1900;76,28;
250304;2000;83,875;
250304;2100;84,875;
250304;2200;86,5;
250304;2300;89,4;
250305;0000;90,85;
250305;0100;98,075;
250305;0200;100;
250305;0300;100;
250305;0400;100;
250305;0500;100;
250305;0600;100;
250305;0700;100;
250305;0800;98,725;
250305;0900;72,42;
250305;1000;51,795;
250305;1100;57,505;
250305;1200;54,24;
250305;1300;50,1275;
250305;1400;51,435;
250305;1500;52,14;
250305;1600;54,6525;
250305;1700;59,735;
250305;1800;67,9475;
250305;1900;80,9375;
250305;2000;87,175;
250305;2100;92,125;
250305;2200;100;
250305;2300;95,475;
250306;0000;89,825;
250306;0100;88,125;
250306;0200;87,9;
250306;0300;90,2334;
250306;0400;100;
250306;0500;100;
250306;0600;100;
250306;0700;100;
250306;0800;99,75;
250306;0900;88,925;
250306;1000;80,65;
250306;1100;77,8325;
250306;1200;75,4275;
250306;1300;69,92;
250306;1400;70,01;
250306;1500;71,785;
250306;1600;76,505;
250306;1700;78,35;
250306;1800;82,3151;
250306;1900;88,525;
250306;2000;95,525;
250306;2100;100;
250306;2200;100;
250306;2300;100;
250307;0000;100;
250307;0100;100;
250307;0200;100;
250307;0300;100;
250307;0400;100;
250307;0500;100;
250307;0600;97,4;
250307;0700;90,05;
250307;0800;88,075;
250307;0900;85,075;
250307;1000;78,23;
250307;1100;70,1875;
250307;1200;56,9575;
250307;1300;55,3425;
250307;1400;50,695;
250307;1500;45,64;
250307;1600;40,9325;
250307;1700;40,3675;
250307;1800;44,4125;
250307;1900;48,1375;
250307;2000;54,065;
250307;2100;59,6075;
250307;2200;74,22;
250307;2300;85,575;
250308;0000;89,925;
250308;0100;75,0575;
250308;0200;67,465;
250308;0300;68,475;
250308;0400;69,5125;
250308;0500;71,915;
250308;0600;69,3051;
250308;0700;63,05;
250308;0800;45,8925;
250308;0900;35,9025;
250308;1000;28,73;
250308;1100;19,7;
250308;1200;19,6275;
250308;1300;28,1375;
250308;1400;26,6625;
250308;1500;29,5475;
250308;1600;32,235;
250308;1700;31,6175;
250308;1800;34,075;
250308;1900;51,4875;
250308;2000;64,325;
250308;2100;72,4125;
250308;2200;73,765;
250308;2300;77,0875;
250309;0000;82,25;
250309;0100;78,095;
250309;0200;83,2426;
250309;0300;83,5725;
250309;0400;92,875;
250309;0500;99,6;
250309;0600;92,175;
250309;0700;88,375;
250309;0800;74,6226;
250309;0900;56,525;
250309;1000;37,195;
250309;1100;22,71;
250309;1200;15,865;
250309;1300;18,315;
250309;1400;20,1725;
250309;1500;22,3125;
250309;1600;22,9825;
250309;1700;22,4225;
250309;1800;30,03;
250309;1900;36,9375;
250309;2000;38,395;
250309;2100;44,2775;
250309;2200;60,86;
250309;2300;67,5601;
250310;0000;69,1801;
250310;0100;73,1375;
250310;0200;77,51;
250310;0300;78,3101;
250310;0400;79,2825;
250310;0500;83,275;
250310;0600;83,525;
250310;0700;79,17;
250310;0800;57,78;
250310;0900;49,2225;
250310;1000;46,3125;
250310;1100;35,645;
250310;1200;29,5475;
250310;1300;32,6925;
250310;1400;37,5625;
250310;1500;41,8875;
250310;1600;46,695;
250310;1700;50,7725;
250310;1800;58,6025;
250310;1900;65,455;
250310;2000;69,3125;
250310;2100;73,0975;
250310;2200;77,9125;
250310;2300;82,5;
250311;0000;79,45;
250311;0100;63,695;
250311;0200;57,275;
250311;0300;62,43;
250311;0400;65,775;
250311;0500;69,2725;
250311;0600;80,6176;
250311;0700;58,39;
250311;0800;41,9625;
250311;0900;40,0575;
250311;1000;29,4575;
250311;1100;24,6075;
250311;1200;19,8375;
250311;1300;16,895;
250311;1400;19,9525;
250311;1500;18,96;
250311;1600;18,98;
250311;1700;21,28;
250311;1800;24,4425;
250311;1900;33,93;
250311;2000;49,9175;
250311;2100;57,1775;
250311;2200;70,4475;
250311;2300;75,87;
250312;0000;78,3275;
250312;0100;80,6801;
250312;0200;78,175;
250312;0300;71,4825;
250312;0400;74,8925;
250312;0500;79,2;
250312;0600;76,655;
250312;0700;73,33;
250312;0800;50,54;
250312;0900;35,19;
250312;1000;25,545;
250312;1100;18,5575;
250312;1200;14,07;
250312;1300;8,8875;
250312;1400;12,4075;
250312;1500;14,1275;
250312;1600;17,68;
250312;1700;19,54;
250312;1800;24,765;
250312;1900;36,525;
250312;2000;55,725;
250312;2100;65,51;
250312;2200;69,0875;
250312;2300;74,4301;
250313;0000;76,9675;
250313;0100;83,115;
250313;0200;89,075;
250313;0300;90,175;
250313;0400;91,2;
250313;0500;87,075;
250313;0600;89,125;
250313;0700;82,15;
250313;0800;76,86;
250313;0900;57,3025;
250313;1000;38,075;
250313;1100;29,9025;
250313;1200;30,89;
250313;1300;35,0875;
250313;1400;33,92;
250313;1500;34,2775;
250313;1600;31,2475;
250313;1700;29,8225;
250313;1800;36,7375;
250313;1900;48,02;
250313;2000;62,9775;
250313;2100;74,3101;
250313;2200;83,725;
250313;2300;91;
250314;0000;98,075;
250314;0100;100;
250314;0200;97,375;
250314;0300;93,9;
250314;0400;94,425;
250314;0500;95,55;
250314;0600;92,75;
250314;0700;89,25;
250314;0800;85,875;
250314;0900;77,48;
250314;1000;68,4575;
250314;1100;66,98;
250314;1200;69,2;
250314;1300;68,145;
250314;1400;70,24;
250314;1500;64,295;
250314;1600;68,5074;
250314;1700;63;
250314;1800;69,6801;
250314;1900;78,76;
250314;2000;85,2;
250314;2100;87,35;
250314;2200;90,025;
250314;2300;89,975;
250315;0000;90,65;
250315;0100;91,825;
250315;0200;93,675;
250315;0300;95,5;
250315;0400;90,875;
250315;0500;89,8002;
250315;0600;88,05;
250315;0700;88,025;
250315;0800;86,4;
250315;0900;81,1125;
250315;1000;74,485;
250315;1100;67,7775;
250315;1200;63,0075;
250315;1300;58,4125;
250315;1400;58,205;
250315;1500;61,155;
250315;1600;62,365;
250315;1700;59,1725;
250315;1800;65,5026;
250315;1900;66,4725;
250315;2000;67,5125;
250315;2100;67,6949;
250315;2200;71,235;
250315;2300;71,605;
250316;0000;75,8776;
250316;0100;75,855;
250316;0200;80,59;
250316;0300;86,525;
250316;0400;91,6;
250316;0500;97,6;
250316;0600;100;
250316;0700;100;
250316;0800;89,975;
250316;0900;69,0175;
250316;1000;57,83;
250316;1100;52,69;
250316;1200;49,1625;
250316;1300;44,825;
250316;1400;44,6475;
250316;1500;43,275;
250316;1600;42,46;
250316;1700;43,7875;
250316;1800;47,1025;
250316;1900;56,47;
250316;2000;59,0825;
250316;2100;65,645;
250316;2200;71,475;
250316;2300;78,1725;
250317;0000;80,2675;
250317;0100;91,05;
250317;0200;91,975;
250317;0300;90,675;
250317;0400;88,25;
250317;0500;89,25;
250317;0600;88,65;
250317;0700;84,85;
250317;0800;71,1975;
250317;0900;58,345;
250317;1000;45,4925;
250317;1100;42,15;
250317;1200;36,6425;
250317;1300;31,955;
250317;1400;34,9;
250317;1500;37,63;
250317;1600;39,055;
250317;1700;42,57;
250317;1800;49,4575;
250317;1900;57,83;
250317;2000;67,3726;
250317;2100;62,48;
250317;2200;48,0975;
250317;2300;47,2825;
250318;0000;56,145;
250318;0100;61,2375;
250318;0200;67,9926;
250318;0300;73,9125;
250318;0400;75,845;
250318;0500;82,4425;
250318;0600;88,05;
250318;0700;89,5;
250318;0800;77,895;
250318;0900;62,745;
250318;1000;51,8675;
250318;1100;35,6325;
250318;1200;27,555;
250318;1300;26;
250318;1400;25,32;
250318;1500;33,465;
250318;1600;30,135;
250318;1700;34,4625;
250318;1800;41,8175;
250318;1900;51,47;
250318;2000;57,26;
250318;2100;71,16;
250318;2200;77,4825;
250318;2300;79,265;
250319;0000;82,375;
250319;0100;87,6;
250319;0200;89,05;
250319;0300;90,225;
250319;0400;93,8;
250319;0500;100;
250319;0600;100;
250319;0700;96,725;
250319;0800;87,9;
250319;0900;66,6575;
250319;1000;48,875;
250319;1100;37,9475;
250319;1200;27,8925;
250319;1300;23,61;
250319;1400;32,38;
250319;1500;32,41;
250319;1600;36,465;
250319;1700;42,265;
250319;1800;56,815;
250319;1900;73,1176;
250319;2000;78,8;
250319;2100;81,425;
250319;2200;83,8;
250319;2300;85,65;
250320;0000;87;
250320;0100;89;
250320;0200;91,1;
250320;0300;92,225;
250320;0400;92,875;
250320;0500;93,825;
250320;0600;98,7;
250320;0700;94,075;
250320;0800;76,265;
250320;0900;62,25;
250320;1000;52,3475;
250320;1100;48,255;
250320;1200;43,795;
250320;1300;43,535;
250320;1400;44,88;
250320;1500;47,315;
250320;1600;46,9225;
250320;1700;50,2375;
250320;1800;55,88;
250320;1900;64,6025;
250320;2000;70,59;
250320;2100;73,6425;
250320;2200;78,415;
250320;2300;84,4;
250321;0000;89,1667;
250321;0100;88,975;
250321;0200;86,95;
250321;0300;89,225;
250321;0400;95,4;
250321;0500;94,975;
250321;0600;99,85;
250321;0700;95,825;
250321;0800;87,05;
250321;0900;73,2825;
250321;1000;61,905;
250321;1100;53,44;
250321;1200;48,7025;
250321;1300;48,205;
250321;1400;43,4775;
250321;1500;41,4025;
250321;1600;43,9175;
250321;1700;49,1075;
250321;1800;50,1075;
250321;1900;53,6325;
250321;2000;58,615;
250321;2100;63,8225;
250321;2200;68,745;
250321;2300;78,77;
250322;0000;78,245;
250322;0100;81,925;
250322;0200;87,1;
250322;0300;89,05;
250322;0400;91,5;
250322;0500;94,925;
250322;0600;98,25;
250322;0700;100;
250322;0800;98,8;
250322;0900;79,245;
250322;1000;50,32;
250322;1100;39,7875;
250322;1200;39,3075;
250322;1300;37,975;
250322;1400;36,3325;
250322;1500;38,245;
250322;1600;39,03;
250322;1700;39,425;
250322;1800;47,945;
250322;1900;54,3625;
250322;2000;60,1075;
250322;2100;68,9;
250322;2200;72,4301;
250322;2300;72,1176;
250323;0000;77,3125;
250323;0100;84,15;
250323;0200;88,475;
250323;0300;89,925;
250323;0400;93,95;
250323;0500;99,175;
250323;0600;88,7;
250323;0700;48,05;
250323;0800;40,33;
250323;0900;29,86;
250323;1000;22,6175;
250323;1100;20,145;
250323;1200;18,455;
250323;1300;16,235;
250323;1400;16,1675;
250323;1500;16,1875;
250323;1600;16,22;
250323;1700;17,22;
250323;1800;18,2325;
250323;1900;19,8975;
250323;2000;23,1075;
250323;2100;24,6425;
